R0,maximum,scen
1.2,0.00453808,1
1.3,0.0281219,1
1.4,0.0434642,1
1.5,0.0586749,1
1.6,0.0714422,1
1.7,0.0781826,1
1.8,0.074396,1
1.9,0.0587252,1
2,0.0378411,1
2.1,0.0562628,1
2.2,0.0800686,1
2.3,0.110581,1
2.4,0.148836,1
2.5,0.194012,1
2.6,0.234289,1
2.7,0.261009,1
2.8,0.274978,1
2.9,0.288013,1
3,0.300429,1
1.2,0.00627667,3
1.3,0.0281735,3
1.4,0.0436225,3
1.5,0.0591461,3
1.6,0.0728225,3
1.7,0.0817603,3
1.8,0.0818786,3
1.9,0.0697215,3
2,0.0482259,3
2.1,0.0728726,3
2.2,0.0996766,3
2.3,0.126578,3
2.4,0.152462,3
2.5,0.176928,3
2.6,0.199886,3
2.7,0.221363,3
2.8,0.24123,3
2.9,0.260216,3
3,0.277846,3
