start_day,maximum,scen
1,0.151744,1
2,0.151536,1
3,0.151302,1
4,0.151038,1
5,0.15074100000000001,1
6,0.150407,1
7,0.15003,1
8,0.149605,1
9,0.149127,1
10,0.148635,1
11,0.148095,1
12,0.147484,1
13,0.146795,1
14,0.146024,1
15,0.145149,1
16,0.144169,1
17,0.143137,1
18,0.142007,1
19,0.14074,1
20,0.139308,1
21,0.137755,1
22,0.136109,1
23,0.134254,1
24,0.132215,1
25,0.130075,1
26,0.12769,1
27,0.125162,1
28,0.122417,1
29,0.119492,1
30,0.116354,1
31,0.113062,1
32,0.109529,1
33,0.105867,1
34,0.102023,1
35,0.0980058,1
36,0.0938432,1
37,0.0895752,1
38,0.0852104,1
39,0.0807618,1
40,0.0762551,1
41,0.0717189,1
42,0.0671905,1
43,0.0626794,1
44,0.0582076,1
45,0.0538027,1
46,0.0495059,1
47,0.0453108,1
48,0.0412589,1
49,0.0378357,1
50,0.0397142,1
51,0.0418004,1
52,0.0441046,1
53,0.0466473,1
54,0.049448400000000003,1
55,0.0525252,1
56,0.0559091,1
57,0.0596047,1
58,0.0636498,1
59,0.0680504,1
60,0.0728278,1
61,0.0779978,1
62,0.0835696,1
63,0.0895646,1
64,0.095743,1
65,0.10194,1
66,0.10809,1
67,0.114119,1
68,0.119953,1
69,0.125518,1
70,0.130737,1
71,0.135543,1
72,0.13987,1
73,0.143662,1
74,0.146874,1
75,0.14947,1
76,0.151427,1
77,0.152733,1
78,0.153389,1
79,0.153406,1
80,0.153406,1
81,0.153406,1
82,0.153406,1
83,0.153406,1
84,0.153406,1
85,0.153406,1
86,0.153406,1
87,0.153406,1
88,0.153406,1
89,0.153406,1
90,0.153406,1
91,0.153406,1
92,0.153406,1
93,0.153406,1
94,0.153406,1
95,0.153406,1
96,0.153406,1
97,0.153406,1
98,0.153406,1
99,0.153406,1
100,0.153406,1
1,0.143851,3
2,0.142777,3
3,0.141559,3
4,0.140177,3
5,0.138672,3
6,0.137062,3
7,0.135237,3
8,0.133233,3
9,0.131093,3
10,0.128674,3
11,0.126139,3
12,0.1233,3
13,0.120317,3
14,0.117035,3
15,0.11356,3
16,0.10985,3
17,0.105887,3
18,0.101695,3
19,0.097304,3
20,0.0927273,3
21,0.0879756,3
22,0.0830677,3
23,0.0780613,3
24,0.0729586,3
25,0.0678027,3
26,0.0626257,3
27,0.0575011,3
28,0.052441,3
29,0.0482259,3
30,0.0511465,3
31,0.0541114,3
32,0.0571189,3
33,0.060159,3
34,0.0632237,3
35,0.0663033,3
36,0.0693916,3
37,0.0724825,3
38,0.0755708,3
39,0.0786614,3
40,0.0817391,3
41,0.0847991,3
42,0.0878357,3
43,0.0908423,3
44,0.0938187,3
45,0.096759,3
46,0.0996603,3
47,0.102519,3
48,0.105332,3
49,0.108098,3
50,0.110813,3
51,0.113474,3
52,0.11608,3
53,0.118625,3
54,0.121109,3
55,0.123529,3
56,0.12588,3
57,0.128159,3
58,0.130361,3
59,0.132484,3
60,0.134524,3
61,0.136474,3
62,0.13833,3
63,0.140087,3
64,0.141739,3
65,0.143299,3
66,0.1448,3
67,0.146188,3
68,0.147457,3
69,0.148601,3
70,0.149616,3
71,0.150496,3
72,0.151237,3
73,0.151939,3
74,0.152518,3
75,0.152954,3
76,0.153245,3
77,0.153389,3
78,0.153406,3
79,0.153406,3
80,0.153406,3
81,0.153406,3
82,0.153406,3
83,0.153406,3
84,0.153406,3
85,0.153406,3
86,0.153406,3
87,0.153406,3
88,0.153406,3
89,0.153406,3
90,0.153406,3
91,0.153406,3
92,0.153406,3
93,0.153406,3
94,0.153406,3
95,0.153406,3
96,0.153406,3
97,0.153406,3
98,0.153406,3
99,0.153406,3
100,0.153406,3
