t,S,I,R,C,beta,scen
1,0.999876,0.000112243,1.2246e-05,2.44893e-05,0.231049,3
2,0.999848,0.000125985,2.59914e-05,5.19762e-05,0.231049,3
3,0.999817,0.000141408,4.14194e-05,8.28272e-05,0.231049,3
4,0.999783,0.000158717,5.87361e-05,0.000117454,0.231049,3
5,0.999744,0.000178145,7.81725e-05,0.000156317,0.231049,3
6,0.9997,0.000199948,9.99877e-05,0.000199935,0.231049,3
7,0.999651,0.000224417,0.000124473,0.00024889,0.231049,3
8,0.999596,0.000251878,0.000151954,0.000303832,0.231049,3
9,0.999535,0.000282695,0.000182798,0.000365493,0.231049,3
10,0.999465,0.000317277,0.000217415,0.000434693,0.231049,3
11,0.999388,0.000356085,0.000256267,0.000512352,0.231049,3
12,0.9993,0.000399631,0.000299871,0.000599502,0.231049,3
13,0.999203,0.000448493,0.000348806,0.0006973,0.231049,3
14,0.999093,0.000503318,0.000403724,0.000807042,0.231049,3
15,0.99897,0.000564829,0.000465355,0.000930184,0.231049,3
16,0.998832,0.000633838,0.000534516,0.00106835,0.231049,3
17,0.998677,0.000711255,0.000612126,0.00122338,0.231049,3
18,0.998503,0.000798097,0.000699214,0.00139731,0.231049,3
19,0.998308,0.000895503,0.000796932,0.00159244,0.231049,3
20,0.998089,0.00100475,0.000906575,0.00181133,0.231049,3
21,0.997843,0.00112727,0.00102959,0.00205685,0.231049,3
22,0.997568,0.00126464,0.0011676,0.00233224,0.231049,3
23,0.997259,0.00141867,0.00132242,0.00264109,0.231049,3
24,0.996913,0.00159133,0.0014961,0.00298743,0.231049,3
25,0.996524,0.00178485,0.0016909,0.00337576,0.231049,3
26,0.996089,0.00200172,0.00190939,0.00381111,0.231049,3
27,0.995601,0.0022447,0.0021544,0.00429911,0.231049,3
28,0.995054,0.00251688,0.00242915,0.00484603,0.231049,3
29,0.994441,0.00282168,0.00273718,0.00545886,0.231049,3
30,0.993755,0.00316292,0.0030825,0.00614541,0.231049,3
31,0.992986,0.00354483,0.00346954,0.00691436,0.231049,3
