t,S,I,R,C,beta,scen
1,0.999876,0.000112243,1.2246e-05,2.44893e-05,0.231049,41
2,0.999848,0.000125985,2.59914e-05,5.19762e-05,0.231049,41
3,0.999817,0.000141408,4.14194e-05,8.28272e-05,0.231049,41
4,0.999783,0.000158717,5.87361e-05,0.000117454,0.231049,41
5,0.999744,0.000178145,7.81725e-05,0.000156317,0.231049,41
6,0.9997,0.000199948,9.99877e-05,0.000199935,0.231049,41
7,0.999651,0.000224417,0.000124473,0.00024889,0.231049,41
8,0.999596,0.000251878,0.000151954,0.000303832,0.231049,41
9,0.999535,0.000282695,0.000182798,0.000365493,0.231049,41
10,0.999465,0.000317277,0.000217415,0.000434693,0.231049,41
11,0.999388,0.000356085,0.000256267,0.000512352,0.231049,41
12,0.9993,0.000399631,0.000299871,0.000599502,0.231049,41
13,0.999203,0.000448493,0.000348806,0.0006973,0.231049,41
14,0.999093,0.000503318,0.000403724,0.000807042,0.231049,41
15,0.99897,0.000564829,0.000465355,0.000930184,0.231049,41
16,0.998832,0.000633838,0.000534516,0.00106835,0.231049,41
17,0.998677,0.000711255,0.000612126,0.00122338,0.231049,41
18,0.998503,0.000798097,0.000699214,0.00139731,0.231049,41
19,0.998308,0.000895503,0.000796932,0.00159244,0.231049,41
20,0.998089,0.00100475,0.000906575,0.00181133,0.231049,41
21,0.997843,0.00112727,0.00102959,0.00205685,0.231049,41
22,0.997568,0.00126464,0.0011676,0.00233224,0.231049,41
23,0.997259,0.00141867,0.00132242,0.00264109,0.231049,41
24,0.996913,0.00159133,0.0014961,0.00298743,0.231049,41
25,0.996524,0.00178485,0.0016909,0.00337576,0.231049,41
26,0.996089,0.00200172,0.00190939,0.00381111,0.231049,41
27,0.995601,0.0022447,0.0021544,0.00429911,0.231049,41
28,0.995054,0.00251688,0.00242915,0.00484603,0.231049,41
29,0.994441,0.00282168,0.00273718,0.00545886,0.231049,41
30,0.993755,0.00316292,0.0030825,0.00614541,0.231049,41
31,0.992986,0.00354483,0.00346954,0.00691436,0.231049,41
32,0.992125,0.0039721,0.00390327,0.00777537,0.231049,41
33,0.991161,0.00444994,0.00438923,0.00873918,0.231049,41
34,0.990082,0.00498409,0.00493359,0.00981768,0.231049,41
35,0.988876,0.00558088,0.00554321,0.0110241,0.231049,41
36,0.987527,0.00624729,0.00622573,0.012373,0.231049,41
37,0.986019,0.00699098,0.00698962,0.0138806,0.231049,41
38,0.984335,0.00782031,0.00784429,0.0155646,0.231049,41
39,0.982455,0.00874442,0.00880014,0.0174446,0.231049,41
40,0.980358,0.00977325,0.00986871,0.019542,0.231049,41
41,0.97802,0.0109175,0.0110627,0.0218802,0.231049,41
42,0.975415,0.0121888,0.0123961,0.0244849,0.231049,41
43,0.972516,0.0135995,0.0138843,0.0273838,0.231049,41
44,0.969293,0.0151628,0.0155441,0.0306069,0.231049,41
45,0.965714,0.0168925,0.017394,0.0341865,0.231049,41
46,0.961743,0.0188031,0.0194541,0.0381571,0.231049,41
47,0.957344,0.0209095,0.021746,0.0425555,0.231049,41
48,0.95248,0.0232271,0.0242933,0.0474205,0.231049,41
49,0.947108,0.0257712,0.0271213,0.0527925,0.231049,41
50,0.941186,0.0285566,0.030257,0.0587136,0.231049,41
51,0.934673,0.0315976,0.0337291,0.0652267,0.231049,41
52,0.927525,0.0349074,0.037568,0.0723754,0.231049,41
53,0.921283,0.0369967,0.0417208,0.0786175,0.187724,41
54,0.914722,0.0391594,0.046119,0.0851784,0.187724,41
55,0.907832,0.0413962,0.0507714,0.0920676,0.187724,41
56,0.900611,0.0437029,0.0556863,0.0992892,0.187724,41
